date,cases,state
"2020-06-21",54,BY
"2020-06-22",55,BY
"2020-06-23",54,BY
"2020-06-24",53,BY
"2020-06-25",52,BY
"2020-06-26",52,BY
"2020-06-27",48,BY
"2020-06-28",46,BY
"2020-06-29",48,BY
"2020-06-30",50,BY
"2020-07-01",50,BY
"2020-07-02",49,BY
"2020-07-03",51,BY
"2020-07-04",55,BY
"2020-07-05",38,BY
"2020-07-06",41,BY
"2020-07-07",34,BY
"2020-07-08",35,BY
"2020-07-09",34,BY
"2020-07-10",36,BY
"2020-07-11",32,BY
"2020-07-12",32,BY
"2020-07-13",37,BY
"2020-07-14",32,BY
"2020-07-15",35,BY
"2020-07-16",34,BY
"2020-07-17",28,BY
"2020-07-18",28,BY
"2020-07-19",30,BY
"2020-07-20",34,BY
"2020-07-21",29,BY
"2020-07-22",31,BY
"2020-07-23",27,BY
"2020-07-24",27,BY
"2020-07-25",32,BY
"2020-07-26",35,BY
"2020-07-27",28,BY
"2020-07-28",27,BY
"2020-07-29",29,BY
"2020-07-30",31,BY
"2020-07-31",27,BY
"2020-08-01",26,BY
"2020-08-02",31,BY
"2020-08-03",31,BY
"2020-08-04",25,BY
"2020-08-05",22,BY
"2020-08-06",24,BY
"2020-08-07",22,BY
"2020-08-08",20,BY
"2020-08-09",23,BY
"2020-08-10",21,BY
"2020-08-11",22,BY
"2020-08-12",22,BY
"2020-08-13",20,BY
"2020-08-14",22,BY
"2020-08-15",24,BY
"2020-08-16",25,BY
"2020-08-17",25,BY
"2020-08-18",21,BY
"2020-08-19",22,BY
"2020-08-20",31,BY
"2020-08-21",30,BY
"2020-08-22",30,BY
"2020-08-23",36,BY
"2020-08-24",34,BY
"2020-08-25",34,BY
"2020-08-26",35,BY
"2020-08-27",37,BY
"2020-08-28",39,BY
"2020-08-29",39,BY
"2020-08-30",38,BY
"2020-08-31",42,BY
"2020-09-01",36,BY
"2020-09-02",35,BY
"2020-09-03",33,BY
"2020-09-04",39,BY
"2020-09-05",32,BY
"2020-09-06",33,BY
"2020-09-07",34,BY
"2020-09-08",35,BY
"2020-09-09",33,BY
"2020-09-10",34,BY
"2020-09-11",34,BY
"2020-09-12",34,BY
"2020-09-13",35,BY
"2020-09-14",36,BY
"2020-09-15",36,BY
"2020-09-16",39,BY
"2020-09-17",41,BY
"2020-09-18",41,BY
"2020-09-19",38,BY
"2020-09-20",42,BY
"2020-09-21",33,BY
"2020-09-22",37,BY
"2020-09-23",42,BY
"2020-09-24",46,BY
"2020-09-25",49,BY
"2020-09-26",50,BY
"2020-09-27",50,BY
"2020-09-28",56,BY
"2020-09-29",56,BY
"2020-09-30",55,BY
"2020-10-01",52,BY
"2020-10-02",60,BY
"2020-10-03",65,BY
"2020-10-04",67,BY
"2020-10-05",65,BY
"2020-10-06",58,BY
"2020-10-07",66,BY
"2020-10-08",64,BY
"2020-10-09",62,BY
"2020-10-10",63,BY
"2020-10-11",61,BY
"2020-10-12",73,BY
"2020-10-13",72,BY
"2020-10-14",72,BY
"2020-10-15",79,BY
"2020-10-16",86,BY
"2020-10-17",86,BY
"2020-10-18",83,BY
"2020-10-19",92,BY
"2020-10-20",96,BY
"2020-10-21",102,BY
"2020-10-22",100,BY
"2020-10-23",107,BY
"2020-10-24",110,BY
"2020-10-25",122,BY
"2020-10-26",125,BY
"2020-10-27",132,BY
"2020-10-28",151,BY
"2020-10-29",170,BY
"2020-10-30",185,BY
"2020-10-31",200,BY
"2020-11-01",243,BY
"2020-11-02",274,BY
"2020-11-03",290,BY
"2020-11-04",316,BY
"2020-04-15",16,HB
"2020-04-16",17,HB
"2020-04-17",18,HB
"2020-04-18",14,HB
"2020-04-19",14,HB
"2020-04-20",18,HB
"2020-04-21",12,HB
"2020-04-22",12,HB
"2020-04-23",14,HB
"2020-04-24",10,HB
"2020-04-25",12,HB
"2020-04-26",12,HB
"2020-04-27",14,HB
"2020-04-28",14,HB
"2020-04-29",13,HB
"2020-04-30",14,HB
"2020-05-01",14,HB
"2020-05-02",12,HB
"2020-05-03",13,HB
"2020-05-04",10,HB
"2020-05-05",10,HB
"2020-05-06",12,HB
"2020-05-07",11,HB
"2020-05-08",11,HB
"2020-05-09",13,HB
"2020-05-10",13,HB
"2020-05-11",13,HB
"2020-05-12",12,HB
"2020-05-13",13,HB
"2020-05-14",12,HB
"2020-05-15",17,HB
"2020-05-16",14,HB
"2020-05-17",11,HB
"2020-05-18",5,HB
"2020-05-19",8,HB
"2020-05-20",9,HB
"2020-05-21",10,HB
"2020-05-22",8,HB
"2020-05-23",9,HB
"2020-05-24",7,HB
"2020-05-25",9,HB
"2020-05-26",7,HB
"2020-05-27",9,HB
"2020-05-28",9,HB
"2020-05-29",10,HB
"2020-05-30",9,HB
"2020-05-31",8,HB
"2020-06-01",8,HB
"2020-06-02",9,HB
"2020-06-03",8,HB
"2020-06-04",7,HB
"2020-06-05",9,HB
"2020-06-06",10,HB
"2020-06-07",11,HB
"2020-06-08",9,HB
"2020-06-09",9,HB
"2020-06-10",7,HB
"2020-06-11",7,HB
"2020-06-12",7,HB
"2020-06-13",7,HB
"2020-06-14",7,HB
"2020-06-15",9,HB
"2020-06-16",5,HB
"2020-06-17",5,HB
"2020-06-18",6,HB
"2020-06-19",7,HB
"2020-06-20",5,HB
"2020-06-21",8,HB
"2020-06-22",10,HB
"2020-06-23",11,HB
"2020-06-24",8,HB
"2020-06-25",7,HB
"2020-06-26",7,HB
"2020-06-27",9,HB
"2020-06-28",9,HB
"2020-06-29",7,HB
"2020-06-30",8,HB
"2020-07-01",7,HB
"2020-07-02",8,HB
"2020-07-03",10,HB
"2020-07-04",9,HB
"2020-07-05",8,HB
"2020-07-06",8,HB
"2020-07-07",8,HB
"2020-07-08",7,HB
"2020-07-09",7,HB
"2020-07-10",7,HB
"2020-07-11",6,HB
"2020-07-12",6,HB
"2020-07-13",3,HB
"2020-07-14",6,HB
"2020-07-15",6,HB
"2020-07-16",3,HB
"2020-07-17",8,HB
"2020-07-18",8,HB
"2020-07-19",10,HB
"2020-07-20",5,HB
"2020-07-21",5,HB
"2020-07-22",4,HB
"2020-07-23",4,HB
"2020-07-24",3,HB
"2020-07-25",5,HB
"2020-07-26",4,HB
"2020-07-27",4,HB
"2020-07-28",5,HB
"2020-07-29",5,HB
"2020-07-30",5,HB
"2020-07-31",5,HB
"2020-08-01",4,HB
"2020-08-02",4,HB
"2020-08-03",4,HB
"2020-08-04",2,HB
"2020-08-05",2,HB
"2020-08-06",2,HB
"2020-08-07",2,HB
"2020-08-08",4,HB
"2020-08-09",3,HB
"2020-08-10",3,HB
"2020-08-11",1,HB
"2020-08-12",1,HB
"2020-08-13",2,HB
"2020-08-14",1,HB
"2020-08-15",1,HB
"2020-08-16",2,HB
"2020-08-17",2,HB
"2020-08-18",3,HB
"2020-08-19",3,HB
"2020-08-20",3,HB
"2020-08-21",3,HB
"2020-08-22",2,HB
"2020-08-23",3,HB
"2020-08-24",3,HB
"2020-08-25",2,HB
"2020-08-26",2,HB
"2020-08-27",3,HB
"2020-08-28",2,HB
"2020-08-29",2,HB
"2020-08-30",3,HB
"2020-08-31",1,HB
"2020-09-01",3,HB
"2020-09-02",2,HB
"2020-09-03",2,HB
"2020-09-04",3,HB
"2020-09-05",4,HB
"2020-09-06",4,HB
"2020-09-07",0,HB
"2020-09-08",2,HB
"2020-09-09",1,HB
"2020-09-10",1,HB
"2020-09-11",2,HB
"2020-09-12",1,HB
"2020-09-13",2,HB
